,subject,trial,description
0,10,04,walk
1,12,01,walk
2,12,02,walk
3,12,03,walk
4,120,19,walk slow
5,15,04,"wash windows, paint; hand signals; dance - egyptian walk, the dive, the twist, the cabbage patch; boxing"
6,15,05,"wash windows, paint; hand signals; dance - egyptian walk, the dive, the twist, the cabbage patch; boxing"
7,16,15,walk
8,16,16,walk
9,16,21,walk
10,16,22,walk
11,16,31,walk
12,16,32,walk
13,16,33,"slow walk, stop"
14,16,34,"slow walk, stop"
15,16,47,walk
16,16,58,walk
17,17,05,walk/hobble
18,17,06,"whistle, walk jauntily"
19,17,07,"whistle, walk jauntily"
20,17,08,"muscular, heavyset person's walk"
21,17,09,"muscular, heavyset person's walk"
22,02,01,walk
23,02,02,walk
24,26,01,walk
25,27,01,walk
26,29,01,walk
27,32,01,walk
28,32,02,walk
29,35,01,walk
30,35,02,walk
31,35,03,walk
32,35,04,walk
33,35,05,walk
34,35,06,walk
35,35,07,walk
36,35,08,walk
37,35,09,walk
38,35,10,walk
39,35,11,walk
40,35,12,walk
41,35,13,walk
42,35,14,walk
43,35,15,walk
44,35,16,walk
45,35,28,walk
46,35,29,walk
47,35,30,walk
48,35,31,walk
49,35,32,walk
50,35,33,walk
51,35,34,walk
52,37,01,slow walk
53,38,01,walk
54,38,02,walk
55,39,01,walk
56,39,02,walk
57,39,03,walk
58,39,04,walk
59,39,05,walk
60,39,06,walk
61,39,07,walk
62,39,08,walk
63,39,09,walk
64,39,10,walk
65,39,12,walk
66,39,13,walk
67,39,14,walk
68,45,01,walk
69,49,01,walk
70,05,01,walk
71,55,04,walk
72,56,01,walk around
73,06,01,walk
74,07,01,walk
75,07,02,walk
76,07,03,walk
77,07,04,slow walk
78,07,05,slow walk
79,07,06,walk
80,07,07,walk
81,07,08,walk
82,07,09,walk
83,07,10,walk
84,07,11,walk
85,08,02,walk
86,08,03,walk
87,08,04,slow walk
88,08,05,walk/stride
89,08,06,walk
90,08,07,"walk, exaggerated stride"
91,08,08,walk
92,08,09,walk
93,08,10,walk
94,08,11,slow walk/stride
95,90,23,straight walk
