,subject,trial,description
0,13,26,"direct traffic, wave"
1,13,27,"direct traffic, wave, point"
2,13,28,"direct traffic, wave, point"
3,14,24,"direct traffic, wave, point"
4,14,25,"direct traffic, wave, point"
5,14,26,"direct traffic, wave, point"
6,15,04,"wash windows, paint; hand signals; dance - egyptian walk, the dive, the twist, the cabbage patch; boxing"
7,15,05,"wash windows, paint; hand signals; dance - egyptian walk, the dive, the twist, the cabbage patch; boxing"
8,15,08,hand signals - horizontally revolve forearms
9,15,11,"wash windows, paint figure eights; hand signals"
10,26,02,basketball signals
11,27,02,basketball signals
12,27,06,basketball signals
13,28,01,basketball signals
14,28,05,basketball signals
15,29,02,basketball signals
16,29,07,basketball signals
17,30,01,basketball signals
18,30,07,basketball signals
19,31,01,basketball signals
20,31,05,basketball signals
21,32,03,basketball signals
22,32,07,basketball signals
23,40,12,basketball signals
24,41,10,basketball signals
25,41,11,basketball signals
